やぼったい,ヤボッタイ
手ひどい,テヒドイ
甘辛い,アマカライ
か細い,カボソイ
枉々しい,マガマガシイ
久しい,ヒサシイ
おくゆかしい,オクユカシイ
おっきい,オッキイ
みやすい,ミヤスイ
おびただしい,オビタダシイ
わるがしこい,ワルガシコイ
熱っぽい,ネツッポイ
くちい,クチイ
いとしい,イトシイ
情けない,ナサケナイ
慎ましい,ツツマシイ
血なまぐさい,チナマグサイ
ほしい,ホシイ
物々しい,モノモノシイ
清すがしい,スガスガシイ
厚ぼったい,アツボッタイ
好ましい,コノマシイ
腫れぼったい,ハレボッタイ
がんぜない,ガンゼナイ
ふんべつらしい,フンベツラシイ
うやうやしい,ウヤウヤシイ
度がたい,ドシガタイ
真っ黒い,マックロイ
きなくさい,キナクサイ
恋しい,コイシイ
心憎い,ココロニクイ
詳しい,クワシイ
青じろい,アオジロイ
惜しい,オシイ
熟柿臭い,ジュクシクサイ
白々しい,シラジラシイ
みずくさい,ミズクサイ
きざっぽい,キザッポイ
おとなしい,オトナシイ
歯痒い,ハガユイ
こすっからい,コスッカライ
気持ちいい,キモチイイ
渋い,シブイ
青白い,アオジロイ
残多い,ノコリオオイ
気強い,キヅヨイ
ほねっぽい,ホネッポイ
堅苦しい,カタクルシイ
手がるい,テガルイ
煩い,ウルサイ
如何わしい,イカガワシイ
まずい,マズイ
甲斐甲斐しい,カイガイシイ
なかよい,ナカヨイ
並無い,ナラビナイ
恐れ多い,オソレオオイ
手軽い,テガルイ
怪い,アヤイ
良い,ヨイ
良い,イイ
こむずかしい,コムズカシイ
臭い,クサイ
口煩い,クチウルサイ
やわらかい,ヤワラカイ
あたらしい,アタラシイ
執念深い,シュウネンブカイ
めづらい,メヅライ
憎い,ニクイ
煙たい,ケムタイ
素早い,スバヤイ
くるしい,クルシイ
ちっちゃい,チッチャイ
とげとげしい,トゲトゲシイ
あまい,アマイ
呪わしい,ノロワシイ
いたい,イタイ
ほそい,ホソイ
はだざむい,ハダザムイ
聞きにくい,キキニクイ
塩辛い,シオカライ
めめしい,メメシイ
ならびない,ナラビナイ
嬉しい,ウレシイ
堆い,ウズタカイ
さみしい,サミシイ
居たたまらない,イタタマラナイ
易しい,ヤサシイ
くちさがない,クチサガナイ
けたたましい,ケタタマシイ
ひとくさい,ヒトクサイ
罪ぶかい,ツミブカイ
甘酸っぱい,アマズッパイ
おめでたい,オメデタイ
賑賑しい,ニギニギシイ
素晴らしい,スバラシイ
けわしい,ケワシイ
曲々しい,マガマガシイ
てれくさい,テレクサイ
のろわしい,ノロワシイ
舌たるい,シタタルイ
いとどい,イトドイ
かずおおい,カズオオイ
くみしやすい,クミシヤスイ
猥りがわしい,ミダリガワシイ
名高い,ナダカイ
幼い,オサナイ
みすぼらしい,ミスボラシイ
あわただしい,アワタダシイ
好きずきい,スキズキイ
きづよい,キヅヨイ
生なましい,ナマナマシイ
むし暑い,ムシアツイ
くちやかましい,クチヤカマシイ
もどかしい,モドカシイ
いかめしい,イカメシイ
むしあつい,ムシアツイ
かよわい,カヨワイ
口がたい,クチガタイ
哀しい,カナシイ
腹黒い,ハラグロイ
ばかくさい,バカクサイ
まっこうくさい,マッコウクサイ
気軽い,キガルイ
気はずかしい,キハズカシイ
遠い,トオイ
鋭い,スルドイ
面はゆい,オモハユイ
まぎらわしい,マギラワシイ
